,,,,MB-clonallines-nla-karyo-plate2c7_152,MB-clonallines-nla-karyo-plate2c7_158,MB-clonallines-nla-karyo-plate2c7_148,MB-clonallines-nla-karyo-plate2c7_146,MB-clonallines-nla-karyo-plate2c7_144,MB-clonallines-nla-karyo-plate2c7_156,MB-clonallines-nla-karyo-plate2c7_150,MB-clonallines-nla-karyo-plate2c7_154,MB-clonallines-nla-karyo-plate2c7_155,MB-clonallines-nla-karyo-plate2c7_170,MB-clonallines-nla-karyo-plate2c7_101,MB-clonallines-nla-karyo-plate2c7_111,MB-clonallines-nla-karyo-plate2c7_130,MB-clonallines-nla-karyo-plate2c7_134,MB-clonallines-nla-karyo-plate2c7_14,MB-clonallines-nla-karyo-plate2c7_131,MB-clonallines-nla-karyo-plate2c7_153,MB-clonallines-nla-karyo-plate2c7_8,MB-clonallines-nla-karyo-plate2c7_7,MB-clonallines-nla-karyo-plate2c7_168,MB-clonallines-nla-karyo-plate2c7_192,MB-clonallines-nla-karyo-plate2c7_120,MB-clonallines-nla-karyo-plate2c7_26,MB-clonallines-nla-karyo-plate2c7_122,MB-clonallines-nla-karyo-plate2c7_172,MB-clonallines-nla-karyo-plate2c7_6,MB-clonallines-nla-karyo-plate2c7_35,MB-clonallines-nla-karyo-plate2c7_32,MB-clonallines-nla-karyo-plate2c7_99,MB-clonallines-nla-karyo-plate2c7_73,MB-clonallines-nla-karyo-plate2c7_159,MB-clonallines-nla-karyo-plate2c7_145,MB-clonallines-nla-karyo-plate2c7_24,MB-clonallines-nla-karyo-plate2c7_33,MB-clonallines-nla-karyo-plate2c7_123,MB-clonallines-nla-karyo-plate2c7_2,MB-clonallines-nla-karyo-plate2c7_38,MB-clonallines-nla-karyo-plate2c7_75,MB-clonallines-nla-karyo-plate2c7_103,MB-clonallines-nla-karyo-plate2c7_128,MB-clonallines-nla-karyo-plate2c7_109,MB-clonallines-nla-karyo-plate2c7_5,MB-clonallines-nla-karyo-plate2c7_34,MB-clonallines-nla-karyo-plate2c7_82,MB-clonallines-nla-karyo-plate2c7_174,MB-clonallines-nla-karyo-plate2c7_9,MB-clonallines-nla-karyo-plate2c7_3,MB-clonallines-nla-karyo-plate2c7_15,MB-clonallines-nla-karyo-plate2c7_17,MB-clonallines-nla-karyo-plate2c7_132,MB-clonallines-nla-karyo-plate2c7_80,MB-clonallines-nla-karyo-plate2c7_56,MB-clonallines-nla-karyo-plate2c7_76,MB-clonallines-nla-karyo-plate2c7_1,MB-clonallines-nla-karyo-plate2c7_25,MB-clonallines-nla-karyo-plate2c7_107,MB-clonallines-nla-karyo-plate2c7_124,MB-clonallines-nla-karyo-plate2c7_92,MB-clonallines-nla-karyo-plate2c7_178,MB-clonallines-nla-karyo-plate2c7_157,MB-clonallines-nla-karyo-plate2c7_12,MB-clonallines-nla-karyo-plate2c7_133,MB-clonallines-nla-karyo-plate2c7_28,MB-clonallines-nla-karyo-plate2c7_312,MB-clonallines-nla-karyo-plate2c7_31,MB-clonallines-nla-karyo-plate2c7_18,MB-clonallines-nla-karyo-plate2c7_36,MB-clonallines-nla-karyo-plate2c7_84,MB-clonallines-nla-karyo-plate2c7_29,MB-clonallines-nla-karyo-plate2c7_176,MB-clonallines-nla-karyo-plate2c7_13,MB-clonallines-nla-karyo-plate2c7_58,MB-clonallines-nla-karyo-plate2c7_125,MB-clonallines-nla-karyo-plate2c7_30,MB-clonallines-nla-karyo-plate2c7_83,MB-clonallines-nla-karyo-plate2c7_77,MB-clonallines-nla-karyo-plate2c7_104,MB-clonallines-nla-karyo-plate2c7_19,MB-clonallines-nla-karyo-plate2c7_106,MB-clonallines-nla-karyo-plate2c7_4,MB-clonallines-nla-karyo-plate2c7_147,MB-clonallines-nla-karyo-plate2c7_79,MB-clonallines-nla-karyo-plate2c7_20,MB-clonallines-nla-karyo-plate2c7_10,MB-clonallines-nla-karyo-plate2c7_105,MB-clonallines-nla-karyo-plate2c7_50,MB-clonallines-nla-karyo-plate2c7_97,MB-clonallines-nla-karyo-plate2c7_149,MB-clonallines-nla-karyo-plate2c7_151,MB-clonallines-nla-karyo-plate2c7_182,MB-clonallines-nla-karyo-plate2c7_85,MB-clonallines-nla-karyo-plate2c7_96,MB-clonallines-nla-karyo-plate2c7_52,MB-clonallines-nla-karyo-plate2c7_121,MB-clonallines-nla-karyo-plate2c7_86,MB-clonallines-nla-karyo-plate2c7_141,MB-clonallines-nla-karyo-plate2c7_78,MB-clonallines-nla-karyo-plate2c7_48,MB-clonallines-nla-karyo-plate2c7_127,MB-clonallines-nla-karyo-plate2c7_87,MB-clonallines-nla-karyo-plate2c7_54,MB-clonallines-nla-karyo-plate2c7_27,MB-clonallines-nla-karyo-plate2c7_74,MB-clonallines-nla-karyo-plate2c7_44,MB-clonallines-nla-karyo-plate2c7_180,MB-clonallines-nla-karyo-plate2c7_126,MB-clonallines-nla-karyo-plate2c7_11,MB-clonallines-nla-karyo-plate2c7_118,MB-clonallines-nla-karyo-plate2c7_21,MB-clonallines-nla-karyo-plate2c7_81,MB-clonallines-nla-karyo-plate2c7_39
None,1,6000000,6250000,36.0,94.0,102.0,53.0,98.0,36.0,22.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,6250000,6500000,38.0,104.0,112.0,36.0,78.0,29.0,34.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,6500000,6750000,28.0,93.0,99.0,20.0,66.0,28.0,32.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,6750000,7000000,44.0,114.0,101.0,50.0,85.0,32.0,34.0,45.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,6750000,7000000,6.0,22.0,24.0,8.0,8.0,4.0,8.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,7000000,7250000,25.0,82.0,99.0,38.0,67.0,17.0,10.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,7000000,7250000,2.0,32.0,12.0,4.0,20.0,6.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,7250000,7500000,4.0,4.0,2.0,2.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,7250000,7500000,29.0,69.0,43.0,21.0,69.0,25.0,16.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,7500000,7750000,20.0,51.0,30.0,24.0,35.0,22.0,19.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,7500000,7750000,20.0,34.0,39.0,18.0,28.0,12.0,14.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,7750000,8000000,18.0,54.0,38.0,19.0,20.0,16.0,4.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,7750000,8000000,8.0,44.0,18.0,14.0,26.0,8.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,8000000,8250000,10.0,40.0,26.0,16.0,18.0,16.0,8.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,8000000,8250000,15.0,47.0,40.0,12.0,40.0,8.0,9.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,8250000,8500000,23.0,46.0,60.0,14.0,34.0,18.0,8.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,8250000,8500000,16.0,15.0,22.0,12.0,26.0,8.0,14.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,8500000,8750000,19.0,51.0,51.0,25.0,32.0,10.0,18.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,8500000,8750000,10.0,30.0,44.0,14.0,20.0,2.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,8750000,9000000,6.0,18.0,34.0,14.0,34.0,4.0,16.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,8750000,9000000,18.0,60.0,59.0,38.0,47.0,14.0,15.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,9000000,9250000,14.0,64.0,61.0,22.0,35.0,10.0,23.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,9000000,9250000,16.0,40.0,28.0,12.0,36.0,12.0,16.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,9250000,9500000,2.0,18.0,22.0,10.0,16.0,2.0,10.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,9250000,9500000,28.0,92.0,74.0,35.0,47.0,24.0,31.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,9500000,9750000,44.0,103.0,126.0,43.0,68.0,44.0,25.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,9500000,9750000,4.0,30.0,16.0,6.0,24.0,6.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,9750000,10000000,41.0,105.0,137.0,76.0,84.0,27.0,40.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,9750000,10000000,8.0,28.0,38.0,14.0,22.0,,8.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,10000000,10250000,4.0,16.0,,2.0,8.0,2.0,4.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,10000000,10250000,38.0,111.0,146.0,65.0,107.0,24.0,52.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,10250000,10500000,35.0,67.0,106.0,62.0,92.0,36.0,26.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,10250000,10500000,6.0,6.0,24.0,8.0,12.0,8.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,10500000,10750000,42.0,80.0,74.0,22.0,63.0,12.0,39.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,10500000,10750000,22.0,26.0,32.0,24.0,24.0,10.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,10750000,11000000,42.0,102.0,112.0,47.0,111.0,37.0,32.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,10750000,11000000,6.0,10.0,16.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,11000000,11250000,31.0,108.0,98.0,34.0,78.0,26.0,25.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,11000000,11250000,16.0,36.0,34.0,10.0,32.0,10.0,18.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,11250000,11500000,46.0,104.0,108.0,46.0,95.0,32.0,22.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,11500000,11750000,21.0,77.0,76.0,18.0,55.0,20.0,9.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,11500000,11750000,10.0,42.0,43.0,14.0,28.0,2.0,10.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
