sampleName,,,,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_5,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_2,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_6,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_7,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_3,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_4,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_1,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_121,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_43,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_196,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_175,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_331,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_296,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_259,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_167,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_202,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_379,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_283,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_26,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_19,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_21,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_186,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_136,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_161,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_241,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_192,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_36,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_313,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_124,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_112,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_328,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_353,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_303,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_229,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_351,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_253,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_224,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_148,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_300,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_246,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_334,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_215,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_275,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_78,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_269,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_311,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_200,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_213,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_132,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_368,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_89,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_183,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_337,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_71,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_266,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_232,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_376,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_37,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_226,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_42,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_227,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_79,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_157,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_298,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_75,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_150,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_96,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_279,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_48,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_220,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_258,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_99,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_44,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_69,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_95,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_34,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_171,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_346,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_338,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_381,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_142
1,,84794285,WT,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,86753351,WT,10.0,2.0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,86753352,WT,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,115839859,WT,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,115839860,WT,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,115839861,WT,88.0,1142.0,474.0,52.0,92.0,266.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,116742133,WT,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,124855318,WT,2.0,18.0,6.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,125955024,WT,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,129436678,WT,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,13261430,WT,46.0,,6.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,21166720,WT,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,22288708,WT,,,100.0,,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,22288709,WT,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,22288712,WT,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,22288713,WT,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,22288716,WT,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,24452556,WT,,,,,,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,24957467,WT,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,26943686,WT,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,28422041,WT,2.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,40294427,WT,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,40294428,WT,2.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,46224314,WT,6.0,22.0,8.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,47171195,WT,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,57334179,WT,,,2.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,57334180,WT,,112.0,378.0,,18.0,358.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,57334181,WT,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,66441013,WT,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,66441014,WT,,140.0,6.0,,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,6849779,WT,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,84595657,WT,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,89241059,WT,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,103353925,WT,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,111406064,WT,2.0,,,,,,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,111406065,WT,8.0,,52.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,113753089,WT,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,20283439,WT,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,20283440,WT,,2.0,6.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,20283442,WT,6.0,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,23764116,WT,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,34880553,WT,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,37131407,WT,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,39008365,WT,2.0,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,4139390,WT,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,44729181,WT,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,45525153,WT,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,52219777,WT,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,57820569,WT,,,118.0,86.0,334.0,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,58265772,WT,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,58568069,WT,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,59370142,WT,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,61483118,WT,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,62376220,WT,126.0,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,62376221,WT,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,63725939,WT,4.0,6.0,8.0,,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,63725940,WT,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
